,gamma,token_size,delta,z_score,p_value,num_tokens_scored,num_green_tokens
0,0.25,50,0.5,-1.6666666666666667,0.9522096477271853,363,77
1,0.25,50,1.0,-0.9393939393939394,0.826235738238313,363,83
2,0.25,50,2.0,1.2424242424242424,0.10704003789347644,363,101
3,0.25,50,5.0,2.8181818181818183,0.0024148226279699673,363,114
4,0.25,50,10.0,2.8181818181818183,0.0024148226279699673,363,114
5,0.25,100,0.5,-1.2784297268860563,0.8994510259790649,413,92
6,0.25,100,1.0,0.42614324229535205,0.33500173615608075,413,107
7,0.25,100,2.0,4.517118368330732,3.1343433632540867e-06,413,143
8,0.25,100,5.0,6.903520525184703,2.5364661341575887e-12,413,164
9,0.25,100,10.0,6.903520525184703,2.5364661341575887e-12,413,164
10,0.25,150,0.5,-1.5830728064240018,0.9432975645524433,463,101
11,0.25,150,1.0,1.4220823515334253,0.0775011727616673,463,129
12,0.25,150,2.0,7.754373577229432,4.439030919752295e-15,463,188
13,0.25,150,5.0,10.544874795332758,2.682213051433142e-26,463,214
14,0.25,150,10.0,10.544874795332758,2.682213051433142e-26,463,214
15,0.25,200,0.5,-1.554928862900474,0.940018493788298,513,113
16,0.25,200,1.0,2.625535620963096,0.00432563781389192,513,154
17,0.25,200,2.0,10.57861439514257,1.8722736264011513e-26,513,232
18,0.25,200,5.0,13.841415943523891,7.167733125196067e-44,513,264
19,0.25,200,10.0,13.841415943523891,7.167733125196067e-44,513,264
