,gamma,token_size,delta,z_score,p_value,num_tokens_scored,num_green_tokens
0,0.5,50,0.5,0.36740471675703457,0.3566585768923229,363,185
1,0.5,50,1.0,1.3121597027036949,0.09473312763958686,363,194
2,0.5,50,2.0,3.09669689838072,0.0009784492637849326,363,211
3,0.5,50,5.0,3.306642450813311,0.00047210664009389826,363,213
4,0.5,50,10.0,3.306642450813311,0.00047210664009389826,363,213
5,0.5,100,0.5,-0.04920678313051229,0.5196227471697759,413,206
6,0.5,100,1.0,2.1158916746120284,0.017177010835232695,413,228
7,0.5,100,2.0,5.265125794964815,7.004669886122093e-08,413,260
8,0.5,100,5.0,5.560366493747889,1.3460436109706446e-08,413,263
9,0.5,100,10.0,5.560366493747889,1.3460436109706446e-08,413,263
10,0.5,150,0.5,0.13942182370205192,0.44455841397889945,463,233
11,0.5,150,1.0,2.741962532807021,0.0030536653761638922,463,261
12,0.5,150,2.0,7.296408773740717,1.4777503719442822e-13,463,310
13,0.5,150,5.0,7.575252421144821,1.7921501683638172e-14,463,313
14,0.5,150,10.0,7.575252421144821,1.7921501683638172e-14,463,313
15,0.5,200,0.5,0.22075539284417398,0.4126414490075876,513,259
16,0.5,200,1.0,3.3113308926626095,0.0004642667112330786,513,294
17,0.5,200,2.0,9.139273263748802,3.143670593741382e-20,513,360
18,0.5,200,5.0,9.404179735161811,2.621880387387806e-21,513,363
19,0.5,200,10.0,9.404179735161811,2.621880387387806e-21,513,363
